bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
NO,15,15572,NO,NO ACTIVO,ND,2012-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2014-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2013-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-11-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
SI,15,15572,ND,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2017-07-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,INDIGENA,2012-12-01,Hombre,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,TRANSICIÓN,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
,15,15572,NO,NO ACTIVO,ND,2018-06-01,Mujer,SIN ESPECIFICAR,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,30-49,SI,1
